lambda_AOI=0,reflection_AOI=0,lambda_AOI=10,reflection_AOI=10,,,
805.266254780818,99.209982788296,807.902324213004,99.4601262191624,,,
805.360400117682,99.1870338496845,808.137687555163,99.4360298336202,,,
805.548690791409,99.1606425702811,808.420123565755,99.4061962134251,,,
805.736981465137,99.136546184739,808.655486907914,99.382099827883,,,
805.878199470432,99.1101549053356,808.937922918505,99.3545611015491,,,
806.019417475728,99.087205966724,809.126213592233,99.3316121629375,,,
806.113562812592,99.0608146873207,809.314504265961,99.3040734366036,,,
806.254780817888,99.0367183017785,809.54986760812,99.2788296041308,,,
806.348926154751,99.013769363167,809.785230950279,99.2524383247275,,,
,,809.973521624007,99.2260470453242,,,
,,810.114739629303,99.2030981067126,,,
,,810.30303030303,99.1767068273092,,,
,,810.491320976758,99.1480206540448,,,
,,810.726684318917,99.1239242685026,,,
,,810.820829655781,99.0975329890993,,,
